0001	Potion
00B8	EZ Lifepowder
00B9	EZ Max Potion
00BA	EZ Large Barrel Bomb
00BB	EZ Shock Trap
00BC	EZ Pitfall Trap
00BD	EZ Herbal Powder
00BE	EZ Demon Powder
00BF	EZ Hardshell Powder
00C0	EZ Dung Pod
00C1	EZ Flash Pod
00C2	EZ Screamer Pod
00C3	Throwing Knife
00C4	Poison Knife
00C5	Sleep Knife
00C6	Paralysis Knife
00C7	Tranq Knife
00C8	EZ Farcaster
00C9	EZ Tranq Bomb
00CA	Ballista Ammo
00CB	One-shot Binder
00CC	Cannon Ammo
00CD	Iron Ore
00CE	Machalite Ore
00CF	Dragonite Ore
00D0	Carbalite Ore
00D1	Fucium Ore
00D2	Earth Crystal
00D3	Coral Crystal
00D4	Dragonvein Crystal
00D5	Lightcrystal
00D6	Novacrystal
00D7	Firecell Stone
00D8	Aquacore Ore
00D9	Spiritcore Ore
00DA	Dreamcore Ore
00DB	Dragoncore Ore
00DC	Armor Sphere
00DD	Armor Sphere+
00DE	Advanced Armor Sphere
00DF	Hard Armor Sphere
00E0	Heavy Armor Sphere
00E1	Sturdy Bone
00E2	Quality Bone
00E3	Ancient Bone
00E4	Boulder Bone
00E5	Coral Bone
00E6	Warped Bone
00E7	Brutal Bone
00E8	Dragonbone Relic
00E9	Unknown Skull
00EA	Great Hornfly
00EB	Sinister Cloth
00EC	Monster Bone S
00ED	Monster Bone M
00EE	Monster Bone L
00EF	Monster Bone+
00F0	Monster Keenbone
00F1	Monster Hardbone
00F2	Elder Dragon Bone
00F3	Sharp Claw
00F4	Piercing Claw
00F5	Monster Fluid
00F6	Monster Broth
00F7	Poison Sac
00F8	Toxin Sac
00F9	Paralysis Sac
00FA	Omniplegia Sac
00FB	Sleep Sac
00FC	Coma Sac
00FD	Flame Sac
00FE	Inferno Sac
00FF	Aqua Sac
0100	Torrent Sac
0101	Frost Sac
0102	Freezer Sac
0103	Electro Sac
0104	Thunder Sac
0105	Bird Wyvern Gem
0106	Wyvern Gem
0107	Elder Dragon Blood
0108	Mosswine Hide
0109	Warm Pelt
010A	High-quality Pelt
010B	Vespoid Shell
010C	Vespoid Carapace
010D	Vespoid Wing
010E	Vespoid Innerwing
010F	Hornetaur Shell
0110	Hornetaur Wing
0111	Hornetaur Head
0112	Hornetaur Carapace
0113	Hornetaur Innerwing
0114	Gajau Skin
0115	Gajau Whisker
0116	Gajau Scale
0117	Grand Gajau Whisker
0118	Wingdrake Hide
0119	Wingdrake Hide+
011A	Barnos Hide+
011B	Barnos Talon
011C	Kestodon Shell
011D	Kestodon Scalp
011E	Kestodon Carapace
011F	Gastodon Carapace
0120	Gastodon Horn
0121	Jagras Scale
0122	Jagras Hide
0123	Jagras Scale+
0124	Jagras Hide+
0125	Shamos Scale
0126	Shamos Hide
0127	Shamos Scale+
0128	Shamos Hide+
0129	Girros Scale
012A	Girros Hide
012B	Girros Fang
012C	Girros Scale+
012D	Girros Hide+
012E	Great Jagras Scale
012F	Great Jagras Hide
0130	Great Jagras Mane
0131	Great Jagras Claw
0132	Great Jagras Scale+
0133	Great Jagras Hide+
0134	Great Jagras Claw+
0135	Kulu-Ya-Ku Scale
0136	Kulu-Ya-Ku Hide
0137	Kulu-Ya-Ku Plume
0138	Kulu-Ya-Ku Beak
0139	Kulu-Ya-Ku Scale+
013A	Kulu-Ya-Ku Hide+
013B	Kulu-Ya-Ku Plume+
013C	Kulu-Ya-Ku Beak+
013D	Pukei-Pukei Scale
013E	Pukei-Pukei Shell
013F	Pukei-Pukei Quill
0140	Pukei-Pukei Sac
0141	Pukei-Pukei Tail
0142	Pukei-Pukei Scale+
0143	Pukei-Pukei Carapace
0144	Pukei-Pukei Wing
0145	Pukei-Pukei Sac+
0146	Barroth Shell
0147	Barroth Ridge
0148	Barroth Claw
0149	Barroth Scalp
014A	Barroth Tail
014B	Fertile Mud
014C	Barroth Carapace
014D	Barroth Ridge+
014E	Barroth Claw+
014F	Jyuratodus Scale
0150	Jyuratodus Shell
0151	Jyuratodus Fang
0152	Jyuratodus Fin
0153	Jyuratodus Scale+
0154	Jyuratodus Carapace
0155	Jyuratodus Fang+
0156	Jyuratodus Fin+
0157	Tobi-Kadachi Scale
0158	Tobi-Kadachi Pelt
0159	Tobi-Kadachi Membrane
015A	Tobi-Kadachi Claw
015B	Tobi-Kadachi Electrode
015C	Tobi-Kadachi Scale+
015D	Tobi-Kadachi Pelt+
015E	Tobi-Kadachi Claw+
015F	Tobi-Kadachi Electrode+
0160	Anjanath Scale
0161	Anjanath Pelt
0162	Anjanath Fang
0163	Anjanath Nosebone
0164	Anjanath Tail
0165	Anjanath Plate
0166	Anjanath Scale+
0167	Anjanath Pelt+
0168	Anjanath Fang+
0169	Anjanath Nosebone+
016A	Anjanath Gem
016B	Rathian Scale
016C	Rathian Shell
016D	Rathian Webbing
016E	Rathian Spike
016F	Rathian Plate
0170	Rathian Scale+
0171	Rathian Carapace
0172	Rathian Spike+
0173	Rathian Ruby
0174	Pink Rathian Scale+
0175	Pink Rathian Carapace
0176	Tzitzi-Ya-Ku Scale
0177	Tzitzi-Ya-Ku Hide
0178	Tzitzi-Ya-Ku Claw
0179	Tzitzi-Ya-Ku Photophore
017A	Tzitzi-Ya-Ku Scale+
017B	Tzitzi-Ya-Ku Hide+
017C	Tzitzi-Ya-Ku Claw+
017D	Tzitzi-Ya-Ku Photophore+
017E	Paolumu Pelt
017F	Paolumu Scale
0180	Paolumu Shell
0181	Paolumu Webbing
0182	Paolumu Pelt+
0183	Paolumu Scale+
0184	Paolumu Carapace+
0185	Paolumu Wing
0186	Great Girros Scale
0187	Great Girros Hide
0188	Great Girros Hood
0189	Great Girros Fang
018A	Great Girros Tail
018B	Great Girros Scale+
018C	Great Girros Hide+
018D	Great Girros Hood+
018E	Great Girros Fang+
018F	Radobaan Scale
0190	Radobaan Shell
0191	Radobaan Oilshell
0192	Wyvern Bonemass
0193	Radobaan Jaw
0194	Radobaan Marrow
0195	Radobaan Scale+
0196	Radobaan Carapace
0197	Radobaan Medulla
0198	Legiana Scale
0199	Legiana Hide
019A	Legiana Claw
019B	Legiana Webbing
019C	Legiana Tail Webbing
019D	Legiana Plate
019E	Legiana Scale+
019F	Legiana Hide+
01A0	Legiana Claw+
01A1	Legiana Wing
01A2	Legiana Gem
01A3	Odogaron Scale
01A4	Odogaron Sinew
01A5	Odogaron Claw
01A6	Odogaron Fang
01A7	Odogaron Tail
01A8	Odogaron Plate
01A9	Odogaron Scale+
01AA	Odogaron Sinew+
01AB	Odogaron Claw+
01AC	Odogaron Fang+
01AD	Odogaron Gem
01AE	Rathalos Scale
01AF	Rathalos Shell
01B0	Rathalos Webbing
01B1	Rathalos Tail
01B2	Rath Wingtalon
01B3	Rathalos Marrow
01B4	Rathalos Plate
01B5	Rathalos Scale+
01B6	Rathalos Carapace
01B7	Rathalos Wing
01B8	Rathalos Medulla
01B9	Rathalos Ruby
01BA	Azure Rathalos Scale+
01BB	Azure Rathalos Carapace
01BC	Azure Rathalos Tail
01BD	Azure Rathalos Wing
01BE	Diablos Shell
01BF	Diablos Ridge
01C0	Diablos Tailcase
01C1	Diablos Fang
01C2	Twisted Horn
01C3	Diablos Marrow
01C4	Diablos Carapace
01C5	Diablos Ridge+
01C6	Majestic Horn
01C7	Blos Medulla
01C8	Black Diablos Carapace
01C9	Black Diablos Ridge+
01CA	Black Spiral Horn+
01CB	Kirin Hide
01CC	Kirin Tail
01CD	Kirin Mane
01CE	Kirin Thunderhorn
01CF	Kirin Hide+
01D0	Kirin Thundertail
01D1	Kirin Azure Horn
01D2	Zorah Magdaros Inner Scale
01D3	Zorah Magdaros Heat Scale
01D4	Zorah Magdaros Carapace
01D5	Zorah Magdaros Ridge
01D6	Zorah Magdaros Pleura
01D7	Zorah Magdaros Brace
01D8	Zorah Magdaros Magma
01D9	Zorah Magdaros Gem
01DA	Dodogama Scale+
01DB	Dodogama Hide+
01DC	Dodogama Jaw
01DD	Dodogama Talon
01DE	Dodogama Tail
01DF	Lavasioth Scale+
01E0	Lavasioth Carapace
01E1	Lavasioth Fang+
01E2	Lavasioth Fin+
01E3	Uragaan Scale+
01E4	Uragaan Carapace
01E5	Uragaan Jaw
01E6	Uragaan Scute
01E7	Uragaan Marrow
01E8	Uragaan Ruby
01E9	Lava Nugget
01EA	Bazelgeuse Scale+
01EB	Bazelgeuse Carapace
01EC	Bazelgeuse Tail
01ED	Bazelgeuse Fuse
01EE	Bazelgeuse Talon
01EF	Bazelgeuse Wing
01F0	Bazelgeuse Gem
01F1	Immortal Dragonscale
01F2	Nergigante Carapace
01F3	Nergigante Barbs
01F4	Nergigante Tail
01F5	Nergigante Horn+
01F6	Nergigante Talon
01F7	Nergigante Regrowth Plate
01F8	Nergigante Gem
01F9	Deceased Scale
01FA	Vaal Hazak Carapace
01FB	Vaal Hazak Membrane
01FC	Vaal Hazak Tail
01FD	Vaal Hazak Fang+
01FE	Vaal Hazak Talon
01FF	Vaal Hazak Wing
0200	Vaal Hazak Miasmacryst
0201	Vaal Hazak Gem
0202	Teostra Carapace
0203	Teostra Mane
0204	Teostra Tail
0205	Teostra Horn+
0206	Fire Dragon Scale+
0207	Teostra Claw+
0208	Teostra Webbing
0209	Teostra Powder
020A	Teostra Gem
020B	Daora Carapace
020C	Daora Dragon Scale+
020D	Daora Webbing
020E	Daora Horn+
020F	Daora Tail
0210	Daora Claw+
0211	Daora Gem
0212	Xeno'jiiva Soulscale
0213	Xeno'jiiva Shell
0214	Xeno'jiiva Veil
0215	Xeno'jiiva Tail
0216	Xeno'jiiva Horn
0217	Xeno'jiiva Claw
0218	Xeno'jiiva Wing
0219	Xeno'jiiva Crystal
021A	Xeno'jiiva Gem
021B	??? Scale
021C	??? Shell
021D	??? Membrane
021E	??? Tail
021F	??? Horn
0220	??? Claw
0221	??? Wing
0222	??? Crystal
0223	??? Gem
0224	Mysterious Feystone
0225	Glowing Feystone
0226	Worn Feystone
0227	Warped Feystone
0228	Sullied Streamstone
0229	Shining Streamstone
022A	Streamstone Shard
022B	Streamstone
022C	Gleaming Streamstone
022D	Warrior's Streamstone: Sword
022E	Warrior's Streamstone: Blade
022F	Warrior's Streamstone: Hammer
0230	Warrior's Streamstone: Lance
0231	Warrior's Streamstone: Axe
0232	Warrior's Streamstone: Shaft
0233	Warrior's Streamstone: Ranged
0234	Hero's Streamstone: Sword
0235	Hero's Streamstone: Blade
0236	Hero's Streamstone: Hammer
0237	Hero's Streamstone: Lance
0238	Hero's Streamstone: Axe
0239	Hero's Streamstone: Shaft
023A	Hero's Streamstone: Ranged
023B	Voucher
023C	First Wyverian Print
023D	Deluxe First Wyverian Print
023E	Steel Wyverian Print
023F	Silver Wyverian Print
0240	Gold Wyverian Print
0241	Commendation
0242	High Commendation
0243	Research Commission Ticket
0244	Pukei Coin
0245	Kulu Coin
0246	Rathian Coin
0247	Tzitzi Coin
0248	Barroth Coin
0249	Gama Coin
024A	Rathalos Coin
024B	Brute Coin
024C	Flying Coin
024D	Pinnacle Coin
024E	Hunter King Coin
024F	Ace Hunter Coin
0250	Steel Egg
0251	Silver Egg
0252	Golden Egg
0253	Chipped Scale
0254	Large Scale
0255	Beautiful Scale
0256	Lustrous Scale
0257	Glimmering Scale
0258	Bhernastone
0259	Dundormarin
025A	Loc Lac Ore
025B	Val Habar Quartz
025C	Minegardenite
025D	Golden Scale
025E	Golden Scale+
025F	Platinum Scale
0260	Platinum Scale+
0261	Gilded Scale
0262	Gilded Scale+
0263	White Liver
0264	Wyvern Tear
0265	Large Wyvern Tear
0266	Dragon Treasure
0267	Old Dragon Treasure
0268	Sunbloom
0269	Shinebloom
026A	Goldbloom
026B	Gourmet Shroomcap
026C	Exquisite Shroomcap
026D	Spirit Shroomcap
026E	Bauble Cactus
026F	Jewel Cactus
0270	Kingly Cactus
0271	Hardfruit
0272	Rockfruit
0273	Wildfruit
0274	Super Abalone
0275	Choice Abalone
0276	Precious Abalone
0277	Light Pearl
0278	Deep Pearl
0279	Innocent Pearl
027A	Forgotten Fossil
027B	Legendary Fossil
027C	Mystical Fossil
027D	Underground Fruit
027E	Tainted Fruit
027F	Elysian Fruit
0280	Gaia Amber
0281	Dragonvein Amber
0282	Ancient Amber
0283	Blue Beryl
0284	True Beryl
0285	Abyssal Beryl
0286	Sunkissed Grass
0287	Moonlit Mushroom
0288	Dragonbloom
0289	Divineapple
028A	Violet Abalone
028B	Platinum Pearl
028C	Wicked Fossil
028D	Heavenberry
028E	Twilight Stone
028F	Noahstone
0290	Wyvern Egg
0291	Herbivore Egg
0292	Lump of Meat
0293	Shepherd Hare
0294	Pilot Hare
0295	Woodland Pteryx
0296	Forest Pteryx
0297	Cobalt Flutterfly
0298	Phantom Flutterfly
0299	Climbing Joyperch
029A	Forest Gekko
029B	Wildspire Gekko
029C	Gloom Gekko
029D	Moonlight Gekko
029E	Vaporonid
029F	Scavantula
02A0	Revolture
02A1	Blissbill
02A2	Omenfly
02A3	Augurfly
02A4	Scalebat
02A5	Dung Beetle
02A6	Bomb Beetle
02A7	Pink Parexus
02A8	Great Pink Parexus
02A9	Burst Arowana
02AA	Bomb Arowana
02AB	Great Burst Arowana
02AC	Great Bomb Arowana
02AD	Elegant Coralbird
02AE	Dapper Coralbird
02AF	Andangler
02B0	Downy Crake
02B1	Bristly Crake
02B2	Hopguppy
02B3	Petricanths
02B4	Paratoad
02B5	Sleeptoad
02B6	Nitrotoad
02B7	Wiggler
02B8	Wiggler Queen
02B9	Vigorwasp
02BA	Giant Vigorwasp
02BB	Flying Meduso
02BC	Carrier Ant
02BD	Hercudrome
02BE	Gold Hercudrome
02BF	Prism Hercudrome
02C0	Emperor Hopper
02C1	Tyrant Hopper
02C2	Flashfly
02C3	Grandfather Mantagrell
02C4	Iron Helmcrab
02C5	Soldier Helmcrab
02C6	Emerald Helmcrab
02C7	Whetfish
02C8	Great Whetfish
02C9	Gastronome Tuna
02CA	Great Gastronome Tuna
02CB	King Marlin
02CC	Great King Marlin
02CD	Goldenfish
02CE	Platinumfish
02CF	Great Goldenfish
02D0	Great Platinumfish
02D1	Goldenfry
02D2	Great Goldenfry
02D3	Sushifish
02D4	Great Sushifish
02D5	Gunpowderfish
02D6	Great Gunpowderfish
02D7	Antidote Jewel 1
02D8	Antipara Jewel 1
02D9	Pep Jewel 1
02DA	Steadfast Jewel 1
02DB	Antiblast Jewel 1
02DC	Suture Jewel 1
02DD	Def Lock Jewel 1
02DE	Earplug Jewel 3
02DF	Wind Resist Jewel 2
02E0	Footing Jewel 2
02E1	Fertilizer Jewel 1
02E2	Heat Resist Jewel 2
02E3	Attack Jewel 1
02E4	Defense Jewel 1
02E5	Vitality Jewel 1
02E6	Recovery Jewel 1
02E7	Fire Res Jewel 1
02E8	Water Res Jewel 1
02E9	Ice Res Jewel 1
02EA	Thunder Res Jewel 1
02EB	Dragon Res Jewel 1
02EC	Resistor Jewel 1
02ED	Blaze Jewel 1
02EE	Stream Jewel 1
02EF	Frost Jewel 1
02F0	Bolt Jewel 1
02F1	Dragon Jewel 1
02F2	Venom Jewel 1
02F3	Paralyzer Jewel 1
02F4	Sleep Jewel 1
02F5	Blast Jewel 1
02F6	Poisoncoat Jewel 3
02F7	Paracoat Jewel 3
02F8	Sleepcoat Jewel 3
02F9	Blastcoat Jewel 3
02FA	Powercoat Jewel 3
02FB	Release Jewel 3
02FC	Expert Jewel 1
02FD	Critical Jewel 2
02FE	Tenderizer Jewel 2
02FF	Charger Jewel 2
0300	Handicraft Jewel 3
0301	Draw Jewel 2
0302	Destroyer Jewel 2
0303	KO Jewel 2
0304	Drain Jewel 1
0305	Rodeo Jewel 2
0306	Flight Jewel 2
0307	Throttle Jewel 2
0308	Challenger Jewel 2
0309	Flawless Jewel 2
030A	Potential Jewel 2
030B	Fortitude Jewel 1
030C	Furor Jewel 2
030D	Sonorous Jewel 1
030E	Magazine Jewel 2
030F	Trueshot Jewel 1
0310	Artillery Jewel 1
0311	Heavy Artillery Jewel 1
0312	Sprinter Jewel 2
0313	Physique Jewel 2
0314	Flying Leap Jewel 1
0315	Refresh Jewel 2
0316	Hungerless Jewel 1
0317	Evasion Jewel 2
0318	Jumping Jewel 2
0319	Ironwall Jewel 1
031A	Sheath Jewel 1
031B	Friendship Jewel 1
031C	Enduring Jewel 1
031D	Satiated Jewel 1
031E	Gobbler Jewel 1
031F	Grinder Jewel 1
0320	Bomber Jewel 1
0321	Fungiform Jewel 1
0322	Angler Jewel 1
0323	Chef Jewel 1
0324	Transporter Jewel 1
0325	Gathering Jewel 1
0326	Honeybee Jewel 1
0327	Carver Jewel 1
0328	Protection Jewel 1
0329	Meowster Jewel 1
032A	Botany Jewel 1
032B	Geology Jewel 1
032C	Mighty Jewel 2
032D	Stonethrower Jewel 1
032E	Tip Toe Jewel 1
032F	Brace Jewel 3
0330	Scoutfly Jewel 1
0331	Crouching Jewel 1
0332	Longjump Jewel 1
0333	Smoke Jewel 1
0334	Mirewalker Jewel 1
0335	Climber Jewel 1
0336	Radiosity Jewel 1
0337	Research Jewel 1
0338	Specimen Jewel 1
0339	Miasma Jewel 1
033A	Scent Jewel 1
033B	Slider Jewel 1
033C	Intimidator Jewel 1
033D	Hazmat Jewel 1
033E	Mudshield Jewel 1
033F	Element Resist Jewel 1
0340	Slider Jewel 2
0341	Medicine Jewel 1
0342	Forceshot Jewel 3
0343	Pierce Jewel 3
0344	Spread Jewel 3
0345	Enhancer Jewel 2
0346	Crisis Jewel 1
0347	Dragonseal Jewel 3
0348	Discovery Jewel 2
0349	Detector Jewel 1
034A	Maintenance Jewel 1
034B	Vigorwasp Delivery
034C	Vigorwasp Station
034D	Flashfly Cage
034E	Thunderbug Cage
034F	Shieldspire Taunt
0350	Shieldspire Bash
0351	Coral Cheerhorn
0352	Coral Cheerbongo
0353	Plunderblade
0354	Palarang
0355	Meowlotov Assault
0356	Rath-of-Meow
0357	Item 855
0358	Item 856
0359	Item 857
035A	Item 858
035B	Stone
035C	Redpit
035D	Brightmoss
035E	Scatternut
035F	Torch Pod
0360	Bomb Pod
0361	Thorn Pod
0362	Piercing Pod
0363	Dragon Pod
0364	Crystalburst
0365	Puddle Pod
0366	Chillshroom
0367	Tailraider Voucher
0368	Emerald Shell
0369	Gajalaka Sketch
036A	Mighty Bow Jewel 2
036B	Mind's Eye Jewel 2
036C	Shield Jewel 2
036D	Sharp Jewel 2
036E	Elementless Jewel 2
036F	Deviljho Scale
0370	Deviljho Hide
0371	Deviljho Tallfang
0372	Deviljho Talon
0373	Deviljho Scalp
0374	Deviljho Tail
0375	Deviljho Saliva
0376	Deviljho Gem
0377	Kulve Taroth Golden Scale
0378	Kulve Taroth Golden Shell
0379	Kulve Taroth Golden Nugget
037A	Kulve Taroth Golden Spiralhorn
037B	Kulve Taroth Golden Tailshell
037C	Kulve Taroth Golden Glimstone
037D	Golden Fragment
037E	Golden Chunk
037F	Lunastra Scale+
0380	Lunastra Wing
0381	Lunastra Gem
0382	Lunastra Carapace
0383	Lunastra Mane
0384	Lunastra Tail
0385	Lunastra Horn
0386	Behemoth Mane
0387	Behemoth Bone
0388	Behemoth Great Horn
0389	Behemoth Shearclaw
038A	Behemoth Tail
038B	Aetheryte Shard
038C	Spring Blossom Ticket
038D	Summer Twilight Ticket
038E	Autumn Harvest Ticket
038F	Winter Star Ticket
0390	Appreciation Ticket
0391	Spring Insect Field Guide
0392	Summer Insect Field Guide
0393	Vaal Hazak Ticket
0394	Kirin Ticket
0395	Teostra Ticket
0396	Kushala Daora Ticket
0397	Nergigante Ticket
0398	Zorah Magdaros Ticket
0399	Xeno'jiiva Ticket
039A	Black Bandage
039B	Black Crystal Ticket
039C	Kulu-Ya-Ku Ticket
039D	Wiggler Ticket
039E	Item 926
039F	Item 927
03A0	Mega Man Ticket
03A1	Item 929
03A2	Item 930
03A3	Item 931
03A4	Azure Star Shard
03A5	Azure Stargem
03A6	Red Orb
03A7	Master Craftsman's Blueprint
03A8	Dissolved Weapon
03A9	Melded Weapon
03AA	Sublimated Weapon
03AB	Bushi Ticket
03AC	Blossom Fireworks
03AD	Twilight Fireworks
03AE	Harvest Fireworks
03AF	Star Fireworks
03B0	Appreciation Fireworks
03B1	Gold Scalebat
03B2	Gold Helmcrab
03B3	Shiny Gold Helmcrab
03B4	Copper Calappa
03B5	Gold Calappa
03B6	Tsuchinoko
03B7	Cactuar Cutting
03B8	Gold Chip Fragment
03B9	Gold Nugget Fragment
03BA	Blossom Ticket
03BB	Senu's Feather
03BC	Igni Sign
03BD	Hunter Runestone
03BE	Nekker
03BF	Brigade Ticket
03C0	Guild Cross Ticket
03C1	Downy Crake Ticket
03C2	Bristly Crake Ticket
03C3	First Fleet Ticket
03C4	Fifth Fleet Ticket
03C5	Lunastra Ticket
03C6	Transparent Stone
03C7	Flowering Cactuar Cutting
03C8	Cactuar
03C9	Faux Ticket
03CA	Faux Ticket II
03CB	Faux Ticket III
03CC	Beetle Ticket
03CD	Item 973
03CE	Item 974
03CF	Glamour Prism
03D0	Item 976
03D1	Incandescent Weapon
03D2	Kulve Taroth Emperor Nugget
03D3	Leshen Claw
03D4	Ancient Leshen Claw
03D5	Leshen Skull
03D6	Ancient Leshen Skull
03D7	Cursed Bone
03D8	Ancient Cursed Bone
03D9	Leshen Antlers
03DA	Ancient Leshen Antlers
03DB	Leshen Resin
03DC	Mutagen
03DD	Nekker Card (Weapon)
03DE	Nekker Card (Armor)
03DF	Item 991
03E0	Item 992
03E1	Item 993
03E2	Item 994
03E3	Item 995
03E4	Item 996
03E5	Item 997
03E6	Item 998
03E7	Assassin's Hood
03E8	Hot Drink
03E9	Item 1001
03EA	Item 1002
03EB	Gourmet Voucher
03EC	Surveyor Set
03ED	Raider Ride
03EE	Hot Pepper
03EF	Gloamgrass Bud
03F0	Dust of Life
03F1	Crystalized Bone Shard
03F2	Crystalized Monster Bone
03F3	Crystalized Elder Dragon Bone
03F4	Item 1012
03F5	Item 1013
03F6	Item 1014
03F7	Item 1015
03F8	Item 1016
03F9	Item 1017
03FA	Item 1018
03FB	Item 1019
03FC	Item 1020
03FD	Item 1021
03FE	Vigorwasp Revival
03FF	Boombug Cage
0400	Shieldspire Stooge
0401	Coral Sonicgong
0402	Mount & Plunder
0403	Meowcano
0404	zenny
0405	Research Points
0406	Eltalite Ore
0407	Meldspar Ore
0408	Spiritvein Crystal
0409	Item 1033
040A	Purecrystal
040B	Item 1035
040C	Bathycite Ore
040D	Gracium
040E	Phantomcore Ore
040F	Shadowcore Ore
0410	King Armor Sphere
0411	True Armor Sphere
0412	Thick Bone
0413	Frozen Bone
0414	Dragonbone Artifact
0415	Item 1045
0416	Item 1046
0417	Item 1047
0418	Ancient Fragment
0419	Monster Toughbone
041A	Monster Slogbone
041B	Monster Solidbone
041C	Item 1052
041D	Large Elder Dragon Bone
041E	Tough Claw
041F	Monster Essence
0420	Deadly Poison Sac
0421	Ultraplegia Sac
0422	Torpor Sac
0423	Conflagrant Sac
0424	Flood Sac
0425	Cryo Sac
0426	Lightning Sac
0427	Fey Wyvern Gem
0428	Large Wyvern Gem
0429	Pure Dragon Blood
042A	Large Elder Dragon Gem
042B	Item 1067
042C	Prized Pelt
042D	Anteka Antler
042E	Item 1070
042F	Vespoid Razorwing
0430	Item 1072
0431	Hornetaur Razorwing
0432	Item 1074
0433	Gajau Thickhide
0434	Steel Gajau Whisker
0435	Wingdrake Finehide
0436	Barnos Hardclaw
0437	Item 1079
0438	Cortos Hardclaw
0439	Kestodon Husk
043A	Item 1082
043B	Gastodon Husk
043C	Item 1084
043D	Jagras Shard
